Steart hypsometry
Elevation	Cumulative area
0.03	40
0.06	81
0.09	133
0.12	189
0.15	232
0.18	275
0.21	314
0.24	356
0.27	401
0.3	450
0.33	508
0.36	559
0.39	596
0.42	622
0.45	664
0.48	693
0.51	724
0.54	748
0.57	771
0.6	796
0.63	815
0.66	838
0.69	869
0.72	892
0.75	914
0.78	938
0.81	952
0.84	977
0.87	996
0.9	1016
0.93	1041
0.96	1071
0.99	1087
1.02	1108
1.05	1133
1.08	1155
1.11	1172
1.14	1191
1.17	1214
1.2	1230
1.23	1252
1.26	1269
1.29	1296
1.32	1315
1.35	1342
1.38	1358
1.41	1374
1.44	1397
1.47	1418
1.5	1441
1.53	1464
1.56	1483
1.59	1501
1.62	1520
1.65	1541
1.68	1558
1.71	1580
1.74	1605
1.77	1625
1.8	1641
1.83	1674
1.86	1694
1.89	1710
1.92	1733
1.95	1756
1.98	1774
2.01	1790
2.04	1808
2.07	1820
2.1	1846
2.13	1874
2.16	1894
2.19	1910
2.22	1934
2.25	1964
2.28	1984
2.31	2005
2.34	2020
2.37	2045
2.4	2069
2.43	2084
2.46	2099
2.49	2119
2.52	2136
2.55	2154
2.58	2178
2.61	2198
2.64	2216
2.67	2229
2.7	2251
2.73	2263
2.76	2280
2.79	2302
2.82	2322
2.85	2340
2.88	2361
2.91	2380
2.94	2396
2.97	2420
3	2444
3.03	2468
3.06	2495
3.09	2524
3.12	2545
3.15	2569
3.18	2597
3.21	2635
3.24	2660
3.27	2704
3.3	2736
3.33	2789
3.36	2829
3.39	2869
3.42	2911
3.45	2950
3.48	3010
3.51	3108
3.54	3282
3.57	3602
3.6	4148
3.63	5087
3.66	6468
3.69	8444
3.72	10982
3.75	14219
3.78	16928
3.81	19821
3.84	22607
3.87	25566
3.9	28354
3.93	31001
3.96	33361
3.99	35369
4.02	37350
4.05	39289
4.08	41299
4.11	43449
4.14	45429
4.17	47775
4.2	50117
4.23	52470
4.26	54712
4.29	57044
4.32	59653
4.35	62993
4.38	67095
4.41	71757
4.44	77776
4.47	83396
4.5	90413
4.53	98896
4.56	106441
4.59	115448
4.62	125741
4.65	137669
4.68	149411
4.71	159837
4.74	169498
4.77	178581
4.8	187182
4.83	194976
4.86	202425
4.89	207773
4.92	212670
4.95	216532
4.98	219597
5.01	222302
5.04	224533
5.07	226297
5.1	227745
5.13	229097
5.16	230381
5.19	231701
5.22	233052
5.25	234568
5.28	236753
5.31	239293
5.34	243274
5.37	249051
5.4	258759
5.43	274662
5.46	293023
5.49	310872
5.52	329192
5.55	355579
5.58	393485
5.61	441214
5.64	501762
5.67	565443
5.7	630270
5.73	699897
5.76	781876
5.79	882269
5.82	998839
5.85	1132156
5.88	1271225
5.91	1399320
5.94	1504464
5.97	1586810
6	1650326
6.03	1702221
6.06	1735455
6.09	1762777
6.12	1783775
6.15	1800043
6.18	1813104
6.21	1823784
6.24	1832934
6.27	1841175
6.3	1849189
6.33	1857191
6.36	1866007
6.39	1876591
6.42	1890528
6.45	1909465
6.48	1930989
6.51	1951549
6.54	1971460
6.57	1992136
6.6	2011702
6.63	2028242
6.66	2040699
6.69	2049502
6.72	2056656
6.75	2062902
6.78	2068177
6.81	2072428
6.84	2076008
6.87	2079082
6.9	2081787
6.93	2084384
6.96	2086774
6.99	2089096
7.02	2091236
7.05	2093156
7.08	2095074
7.11	2096865
7.14	2098061
7.17	2.10E+06
